CAR_ID,MODEL_KEY,MODEL,YEAR_KEY,PRICE,MILEAGE,TAX,MPG,ENGINE_SIZE,TRANSMISSION,FUEL_TYPE
43,5,A Class,2013,9995,47000,20,68.9,1.8,SEMI-AUTO,DIESEL
44,5,A Class,2013,9995,74125,20,72.4,1.5,MANUAL,DIESEL
45,5,A Class,2013,9995,83000,20,70.6,1.5,MANUAL,DIESEL
46,5,A Class,2013,9999,58358,20,72.4,1.5,MANUAL,DIESEL
47,5,A Class,2013,10090,45130,145,49.6,1.6,MANUAL,PETROL
48,5,A Class,2013,10122,49517,20,72.4,1.5,MANUAL,DIESEL
49,5,A Class,2013,10190,32457,125,51.4,1.6,MANUAL,PETROL
50,5,A Class,2013,10199,39750,20,72.4,1.5,MANUAL,DIESEL
51,5,A Class,2013,10241,54587,30,62.8,1.8,MANUAL,DIESEL
52,5,A Class,2013,10275,79834,30,65.7,1.8,AUTOMATIC,DIESEL
53,5,A Class,2013,10299,57551,145,50.4,1.6,AUTOMATIC,PETROL
54,5,A Class,2013,10349,50512,145,50.4,1.6,AUTOMATIC,PETROL
55,5,A Class,2013,10495,69197,30,64.2,1.8,AUTOMATIC,DIESEL
56,5,A Class,2013,10559,34408,0,74.3,1.5,MANUAL,DIESEL
57,5,A Class,2013,10599,51140,145,50.4,1.6,AUTOMATIC,PETROL
58,5,A Class,2013,10630,52214,30,65.7,1.8,SEMI-AUTO,DIESEL
59,5,A Class,2013,10650,49000,20,72.4,1.5,MANUAL,DIESEL
60,5,A Class,2013,10662,40104,145,49.6,1.6,MANUAL,PETROL
61,5,A Class,2013,10664,43292,30,65.7,1.8,SEMI-AUTO,DIESEL
62,5,A Class,2013,10700,46414,30,64.2,1.8,AUTOMATIC,DIESEL
63,5,A Class,2013,10800,59135,125,61.4,1.8,MANUAL,DIESEL
64,5,A Class,2013,10891,30308,20,72.4,1.5,MANUAL,DIESEL
65,5,A Class,2013,10950,56000,20,70.6,1.5,MANUAL,DIESEL
66,5,A Class,2013,10980,33876,30,65.7,1.8,SEMI-AUTO,DIESEL
67,5,A Class,2013,10999,55312,125,61.4,1.8,MANUAL,DIESEL
68,5,A Class,2013,11000,55312,125,61.4,1.8,MANUAL,DIESEL
69,5,A Class,2013,11036,50674,125,61.4,1.8,MANUAL,DIESEL
70,5,A Class,2013,11195,69950,30,64.2,1.8,AUTOMATIC,DIESEL
71,5,A Class,2013,11480,19640,30,65.7,1.8,SEMI-AUTO,DIESEL
72,5,A Class,2013,11490,16139,125,52.3,1.6,SEMI-AUTO,PETROL
73,5,A Class,2013,11595,51000,125,61.4,1.8,MANUAL,DIESEL
74,5,A Class,2013,11599,29526,145,50.4,1.6,AUTOMATIC,PETROL
75,5,A Class,2013,11651,61001,30,64.2,1.8,AUTOMATIC,DIESEL
76,5,A Class,2013,11690,52029,145,50.4,1.6,SEMI-AUTO,PETROL
77,5,A Class,2013,11799,18487,125,52.3,1.6,AUTOMATIC,PETROL
78,5,A Class,2013,11800,60032,30,64.2,2.1,AUTOMATIC,DIESEL
79,5,A Class,2013,11878,25151,145,50.4,1.6,SEMI-AUTO,PETROL
80,5,A Class,2013,11998,13680,125,51.4,1.6,MANUAL,PETROL
81,5,A Class,2013,11998,54060,30,64.2,2.1,SEMI-AUTO,DIESEL
82,5,A Class,2013,12000,60369,30,64.2,2.1,AUTOMATIC,DIESEL
83,5,A Class,2013,12362,45166,30,64.2,2.1,AUTOMATIC,DIESEL
84,5,A Class,2013,12490,43507,30,64.2,2.1,SEMI-AUTO,DIESEL
85,5,A Class,2013,12498,38301,150,49.6,1.6,SEMI-AUTO,PETROL
86,5,A Class,2013,12499,51896,125,61.4,1.8,MANUAL,DIESEL
87,5,A Class,2013,12842,16311,145,48.7,1.6,MANUAL,PETROL
88,5,A Class,2013,12999,49737,30,64.2,2.1,AUTOMATIC,DIESEL
89,5,A Class,2013,13595,48000,160,44.1,2,SEMI-AUTO,PETROL
90,5,A Class,2013,13998,29698,30,64.2,2.1,SEMI-AUTO,DIESEL
91,5,A Class,2013,14489,55345,160,44.1,2,AUTOMATIC,PETROL
92,5,A Class,2013,14498,25064,160,45.6,2,SEMI-AUTO,PETROL
93,5,A Class,2013,14990,26038,160,44.1,2,AUTOMATIC,PETROL
94,5,A Class,2013,14991,16724,160,44.1,2,AUTOMATIC,PETROL
95,5,A Class,2013,15498,27415,160,44.1,2,SEMI-AUTO,PETROL
96,5,A Class,2013,16995,16345,165,44.1,2,SEMI-AUTO,PETROL
97,5,A Class,2013,21495,14700,200,40.9,2,SEMI-AUTO,PETROL
98,5,A Class,2014,8499,77859,30,64.2,2.1,MANUAL,DIESEL
99,5,A Class,2014,8795,114310,125,62.8,1.8,MANUAL,DIESEL
100,5,A Class,2014,8990,58000,20,72.4,1.5,MANUAL,DIESEL
101,5,A Class,2014,9480,67569,20,72.4,1.5,MANUAL,DIESEL
102,5,A Class,2014,9490,74000,30,68.9,1.5,AUTOMATIC,DIESEL
103,5,A Class,2014,9500,52220,0,78.5,1.5,MANUAL,DIESEL
104,5,A Class,2014,9500,66237,20,72.4,1.5,MANUAL,DIESEL
105,5,A Class,2014,9688,71000,125,62.8,1.8,MANUAL,DIESEL
106,5,A Class,2014,9700,52251,20,72.4,1.5,MANUAL,DIESEL
107,5,A Class,2014,9742,53120,20,72.4,1.5,MANUAL,DIESEL
108,5,A Class,2014,9761,50116,0,78.5,1.5,MANUAL,DIESEL
109,5,A Class,2014,9799,52000,20,72.4,1.5,MANUAL,DIESEL
110,5,A Class,2014,9800,53553,0,78.5,1.5,MANUAL,DIESEL
111,5,A Class,2014,9853,63381,30,62.8,1.8,MANUAL,DIESEL
112,5,A Class,2014,9914,55058,20,72.4,1.5,MANUAL,DIESEL
113,5,A Class,2014,9929,51743,20,72.4,1.5,MANUAL,DIESEL
114,5,A Class,2014,9977,55000,0,78.5,1.5,MANUAL,DIESEL
115,5,A Class,2014,10000,55000,20,72.4,1.5,MANUAL,DIESEL
116,5,A Class,2014,10171,80870,20,70.6,1.5,MANUAL,DIESEL
117,5,A Class,2014,10300,48167,145,49.6,1.6,MANUAL,PETROL
118,5,A Class,2014,10489,70360,125,61.4,1.8,MANUAL,DIESEL
119,5,A Class,2014,10490,37642,0,78.5,1.5,MANUAL,DIESEL
120,5,A Class,2014,10490,38124,20,72.4,1.5,MANUAL,DIESEL
121,5,A Class,2014,10490,53251,20,68.9,1.5,AUTOMATIC,DIESEL
122,5,A Class,2014,10495,53954,20,70.6,1.5,MANUAL,DIESEL
123,5,A Class,2014,10498,63177,30,64.2,2.1,MANUAL,DIESEL
124,5,A Class,2014,10498,73000,0,78.5,1.5,MANUAL,DIESEL
125,5,A Class,2014,10500,45000,20,72.4,1.5,MANUAL,DIESEL
126,5,A Class,2014,10500,81000,20,72.4,1.5,MANUAL,DIESEL
127,5,A Class,2014,10528,48218,20,72.4,1.5,MANUAL,DIESEL
128,5,A Class,2014,10532,40207,125,51.4,1.6,MANUAL,PETROL
129,5,A Class,2014,10610,41174,125,52.3,1.6,AUTOMATIC,PETROL
130,5,A Class,2014,10620,63212,30,65.7,1.8,AUTOMATIC,DIESEL
131,5,A Class,2014,10649,44140,0,78.5,1.5,MANUAL,DIESEL
132,5,A Class,2014,10650,47280,20,72.4,1.5,MANUAL,DIESEL
133,5,A Class,2014,10759,33403,20,70.6,1.5,AUTOMATIC,DIESEL
134,5,A Class,2014,10765,45000,30,64.2,2.1,MANUAL,DIESEL
135,5,A Class,2014,10775,57456,20,68.9,2.1,AUTOMATIC,DIESEL
136,5,A Class,2014,10788,65000,20,72.4,1.5,MANUAL,DIESEL
137,5,A Class,2014,10790,43613,145,49.6,1.6,MANUAL,PETROL
138,5,A Class,2014,10795,71240,30,62.8,2.1,MANUAL,DIESEL
139,5,A Class,2014,10800,58848,20,68.9,2.1,AUTOMATIC,DIESEL
140,5,A Class,2014,10932,38510,0,78.5,1.5,MANUAL,DIESEL
141,5,A Class,2014,10933,70865,125,61.4,1.8,MANUAL,DIESEL
142,5,A Class,2014,10990,37000,145,48.7,1.6,MANUAL,PETROL
143,5,A Class,2014,10990,42000,20,70.6,1.5,MANUAL,DIESEL
144,5,A Class,2014,10990,48494,150,50.4,1.6,MANUAL,PETROL
145,5,A Class,2014,10990,49799,20,68.9,2.1,SEMI-AUTO,DIESEL
146,5,A Class,2014,10991,53828,20,70.6,1.5,MANUAL,DIESEL
147,5,A Class,2014,10998,49419,30,64.2,2.1,MANUAL,DIESEL
148,5,A Class,2014,10998,58500,30,65.7,1.8,SEMI-AUTO,DIESEL
149,5,A Class,2014,11000,51332,20,68.9,2.1,AUTOMATIC,DIESEL
150,5,A Class,2014,11019,68184,145,50.4,1.6,AUTOMATIC,PETROL
151,5,A Class,2014,11040,31905,20,70.6,1.5,SEMI-AUTO,DIESEL
152,5,A Class,2014,11200,40685,20,68.9,2.1,AUTOMATIC,DIESEL
153,5,A Class,2014,11250,58500,30,65.7,1.5,SEMI-AUTO,DIESEL
154,5,A Class,2014,11340,53484,20,68.9,2.1,AUTOMATIC,DIESEL
155,5,A Class,2014,11353,53520,30,64.2,2.1,MANUAL,DIESEL
156,5,A Class,2014,11400,23016,30,64.2,2.1,MANUAL,DIESEL
157,5,A Class,2014,11495,34101,145,50.4,1.6,SEMI-AUTO,PETROL
158,5,A Class,2014,11498,60321,20,70.6,1.5,MANUAL,DIESEL
159,5,A Class,2014,11499,43830,20,70.6,1.5,MANUAL,DIESEL
160,5,A Class,2014,11500,30914,20,68.9,1.5,AUTOMATIC,DIESEL
161,5,A Class,2014,11595,40000,20,68.9,1.5,SEMI-AUTO,DIESEL
162,5,A Class,2014,11599,52598,20,70.6,1.5,MANUAL,DIESEL
163,5,A Class,2014,11675,63767,30,64.2,1.8,AUTOMATIC,DIESEL
164,5,A Class,2014,11699,60143,20,64.2,2.1,AUTOMATIC,DIESEL
165,5,A Class,2014,11750,40183,20,70.6,1.5,MANUAL,DIESEL
166,5,A Class,2014,11850,54004,30,62.8,2.1,MANUAL,DIESEL
167,5,A Class,2014,11899,61491,30,62.8,2.1,MANUAL,DIESEL
168,5,A Class,2014,11915,12522,0,78.5,1.5,MANUAL,DIESEL
169,5,A Class,2014,11949,62155,30,64.2,1.8,AUTOMATIC,DIESEL
170,5,A Class,2014,11980,40512,145,49.6,1.6,MANUAL,PETROL
171,5,A Class,2014,11980,66690,20,64.2,2.1,AUTOMATIC,DIESEL
172,5,A Class,2014,11988,52000,20,68.9,2.1,SEMI-AUTO,DIESEL
173,5,A Class,2014,11990,61307,20,70.6,1.5,MANUAL,DIESEL
174,5,A Class,2014,11995,35214,125,52.3,1.6,SEMI-AUTO,PETROL
175,5,A Class,2014,11995,41737,20,70.6,1.5,MANUAL,DIESEL
176,5,A Class,2014,12000,34626,20,68.9,2.1,AUTOMATIC,DIESEL
177,5,A Class,2014,12000,43937,20,70.6,1.5,MANUAL,DIESEL
178,5,A Class,2014,12000,68420,20,64.2,2.1,AUTOMATIC,DIESEL
179,5,A Class,2014,12299,34176,20,70.6,1.5,MANUAL,DIESEL
180,5,A Class,2014,12360,24632,20,68.9,2.1,AUTOMATIC,DIESEL
181,5,A Class,2014,12450,55253,30,62.8,2.1,MANUAL,DIESEL
182,5,A Class,2014,12468,33211,30,65.7,1.8,SEMI-AUTO,DIESEL
183,5,A Class,2014,12498,35677,20,68.9,2.1,SEMI-AUTO,DIESEL
184,5,A Class,2014,12498,43904,20,68.9,2.1,SEMI-AUTO,DIESEL
185,5,A Class,2014,12499,46274,20,70.6,1.5,MANUAL,DIESEL
186,5,A Class,2014,12499,48846,30,62.8,2.1,MANUAL,DIESEL
187,5,A Class,2014,12670,41700,30,62.8,2.1,MANUAL,DIESEL
188,5,A Class,2014,12693,30689,30,65.7,1.5,AUTOMATIC,DIESEL
189,5,A Class,2014,12700,33703,20,64.2,2.1,AUTOMATIC,DIESEL
190,5,A Class,2014,12750,37700,125,52.3,1.6,AUTOMATIC,PETROL
191,5,A Class,2014,12799,23657,20,68.9,2.1,AUTOMATIC,DIESEL
192,5,A Class,2014,12900,45844,20,68.9,2.1,SEMI-AUTO,DIESEL
193,5,A Class,2014,12950,59000,195,44.1,2,AUTOMATIC,PETROL
194,5,A Class,2014,12990,20000,20,68.9,1.5,AUTOMATIC,DIESEL
195,5,A Class,2014,12990,41362,145,49.6,1.6,SEMI-AUTO,PETROL
196,5,A Class,2014,12995,35000,30,65.7,1.8,SEMI-AUTO,DIESEL
197,5,A Class,2014,12998,39558,20,70.6,1.5,MANUAL,DIESEL
198,5,A Class,2014,13000,17363,145,50.4,1.6,AUTOMATIC,PETROL
199,5,A Class,2014,13000,35613,20,68.9,2.1,AUTOMATIC,DIESEL
200,5,A Class,2014,13250,49211,30,64.2,1.8,AUTOMATIC,DIESEL
201,5,A Class,2014,13251,41700,20,64.2,2.1,SEMI-AUTO,DIESEL
202,5,A Class,2014,13290,48621,20,68.9,2.1,SEMI-AUTO,DIESEL
203,5,A Class,2014,13470,31537,30,64.2,1.8,AUTOMATIC,DIESEL
204,5,A Class,2014,13490,41136,20,64.2,2.1,SEMI-AUTO,DIESEL
205,5,A Class,2014,13495,61500,145,49.6,1.6,SEMI-AUTO,PETROL
206,5,A Class,2014,13500,38313,30,64.2,1.8,AUTOMATIC,DIESEL
207,5,A Class,2014,13532,31279,20,64.2,2.1,SEMI-AUTO,DIESEL
208,5,A Class,2014,13750,37066,20,64.2,2.1,AUTOMATIC,DIESEL
209,5,A Class,2014,13750,49211,30,64.2,1.8,AUTOMATIC,DIESEL
210,5,A Class,2014,13799,52311,20,64.2,2.1,SEMI-AUTO,DIESEL
211,5,A Class,2014,13998,29670,20,68.9,2.1,SEMI-AUTO,DIESEL
212,5,A Class,2014,13999,35000,20,64.2,2.1,SEMI-AUTO,DIESEL
213,5,A Class,2014,14199,24941,20,64.2,2.1,AUTOMATIC,DIESEL
214,5,A Class,2014,14999,54533,145,44.1,2,AUTOMATIC,PETROL
215,5,A Class,2014,15323,63998,200,42.8,2,AUTOMATIC,PETROL
216,5,A Class,2014,15750,35596,145,45.6,2,SEMI-AUTO,PETROL
217,5,A Class,2014,16860,20011,145,45.6,2,AUTOMATIC,PETROL
218,5,A Class,2014,19985,33620,205,40.9,2,AUTOMATIC,PETROL
219,5,A Class,2014,20000,58677,200,40.9,2,SEMI-AUTO,PETROL
220,5,A Class,2014,20860,31033,200,40.9,2,AUTOMATIC,PETROL
221,5,A Class,2014,20965,23776,200,40.9,2,SEMI-AUTO,PETROL
222,5,A Class,2015,7792,138000,20,68.9,2.1,MANUAL,DIESEL
223,5,A Class,2015,8491,124000,20,70.6,1.5,MANUAL,DIESEL
224,5,A Class,2015,8491,124000,20,70.6,1.5,MANUAL,DIESEL
225,5,A Class,2015,9391,89079,30,64.2,2.1,MANUAL,DIESEL
226,5,A Class,2015,9940,69010,20,72.4,1.5,MANUAL,DIESEL
227,5,A Class,2015,10000,81520,20,70.6,1.5,MANUAL,DIESEL
228,5,A Class,2015,10354,78058,30,65.7,2.1,MANUAL,DIESEL
229,5,A Class,2015,10400,49695,20,70.6,1.5,MANUAL,DIESEL
230,5,A Class,2015,10490,49816,0,70.6,1.5,SEMI-AUTO,DIESEL
231,5,A Class,2015,10490,64000,20,68.9,1.5,AUTOMATIC,DIESEL
232,5,A Class,2015,10490,82000,30,62.8,2.1,MANUAL,DIESEL
233,5,A Class,2015,10491,94000,20,70.6,2.1,AUTOMATIC,DIESEL
234,5,A Class,2015,10500,58437,30,64.2,2.1,MANUAL,DIESEL
235,5,A Class,2015,10500,70610,20,72.4,1.5,MANUAL,DIESEL
236,5,A Class,2015,10500,97937,20,64.2,2.1,AUTOMATIC,DIESEL
237,5,A Class,2015,10700,39884,30,64.2,2.1,MANUAL,DIESEL
238,5,A Class,2015,10795,61626,20,72.4,1.5,MANUAL,DIESEL
239,5,A Class,2015,10799,46966,125,51.4,1.6,MANUAL,PETROL
240,5,A Class,2015,10900,47290,20,70.6,1.5,MANUAL,DIESEL
241,5,A Class,2015,10914,61659,30,64.2,2.1,MANUAL,DIESEL
242,5,A Class,2015,10985,59875,20,70.6,1.5,MANUAL,DIESEL
243,5,A Class,2015,10991,67865,20,68.9,2.1,SEMI-AUTO,DIESEL
244,5,A Class,2015,10995,77000,20,70.6,1.5,MANUAL,DIESEL
245,5,A Class,2015,10998,79131,20,70.6,1.5,AUTOMATIC,DIESEL
246,5,A Class,2015,10999,45416,125,51.4,1.6,MANUAL,PETROL
247,5,A Class,2015,10999,70571,20,68.9,1.5,AUTOMATIC,DIESEL
248,5,A Class,2015,11000,64002,30,65.7,2.1,MANUAL,DIESEL
249,5,A Class,2015,11040,58856,20,68.9,1.5,SEMI-AUTO,DIESEL
250,5,A Class,2015,11195,42830,20,72.4,1.5,MANUAL,DIESEL
251,5,A Class,2015,11199,86662,20,64.2,2.1,AUTOMATIC,DIESEL
252,5,A Class,2015,11200,38776,20,68.9,2.1,AUTOMATIC,DIESEL
253,5,A Class,2015,11234,30100,20,72.4,1.5,MANUAL,DIESEL
254,5,A Class,2015,11249,45659,20,72.4,1.5,MANUAL,DIESEL
255,5,A Class,2015,11281,49316,30,64.2,2.1,MANUAL,DIESEL
256,5,A Class,2015,11295,86890,20,64.2,2.1,AUTOMATIC,DIESEL
257,5,A Class,2015,11444,27000,0,74.3,1.5,MANUAL,DIESEL
258,5,A Class,2015,11479,84521,30,62.8,2.1,MANUAL,DIESEL
259,5,A Class,2015,11480,47552,0,80.7,1.5,MANUAL,DIESEL
260,5,A Class,2015,11490,26000,20,70.6,1.5,MANUAL,DIESEL
261,5,A Class,2015,11490,49000,20,70.6,1.5,MANUAL,DIESEL
262,5,A Class,2015,11490,83000,20,67.3,2.1,AUTOMATIC,DIESEL
263,5,A Class,2015,11498,32648,0,74.3,1.5,MANUAL,DIESEL
264,5,A Class,2015,11499,40373,0,70.6,1.5,AUTOMATIC,DIESEL
265,5,A Class,2015,11499,48120,20,72.4,1.5,MANUAL,DIESEL
266,5,A Class,2015,11500,67060,20,68.9,2.1,AUTOMATIC,DIESEL
267,5,A Class,2015,11500,80140,30,62.8,2.1,MANUAL,DIESEL
268,5,A Class,2015,11623,61884,20,68.9,2.1,AUTOMATIC,DIESEL
269,5,A Class,2015,11632,37883,20,70.6,1.5,MANUAL,DIESEL
270,5,A Class,2015,11680,55067,20,68.9,1.5,SEMI-AUTO,DIESEL
271,5,A Class,2015,11710,22171,125,51.4,1.6,MANUAL,PETROL
272,5,A Class,2015,11750,74016,20,64.2,2.1,AUTOMATIC,DIESEL
273,5,A Class,2015,11772,47320,20,70.6,1.5,MANUAL,DIESEL
274,5,A Class,2015,11869,42379,20,72.4,1.5,MANUAL,DIESEL
275,5,A Class,2015,11899,35325,20,72.4,1.5,MANUAL,DIESEL
276,5,A Class,2015,11899,46835,30,64.2,2.1,MANUAL,DIESEL
277,5,A Class,2015,11990,42600,30,68.9,1.5,SEMI-AUTO,DIESEL
278,5,A Class,2015,11995,51087,30,64.2,2.1,MANUAL,DIESEL
279,5,A Class,2015,11995,66037,20,68.9,2.1,SEMI-AUTO,DIESEL
280,5,A Class,2015,11998,50244,20,68.9,1.5,SEMI-AUTO,DIESEL
281,5,A Class,2015,11999,35153,20,70.6,1.5,SEMI-AUTO,DIESEL
282,5,A Class,2015,12199,34849,30,62.8,2.1,MANUAL,DIESEL
283,5,A Class,2015,12199,42624,20,68.9,2.1,AUTOMATIC,DIESEL
284,5,A Class,2015,12200,34320,20,70.6,1.5,MANUAL,DIESEL
285,5,A Class,2015,12233,40246,20,68.9,1.5,SEMI-AUTO,DIESEL
286,5,A Class,2015,12245,25620,20,72.4,1.5,MANUAL,DIESEL
287,5,A Class,2015,12299,37274,20,70.6,1.5,MANUAL,DIESEL
288,5,A Class,2015,12299,43610,20,72.4,1.5,MANUAL,DIESEL
289,5,A Class,2015,12299,46499,20,68.9,2.1,AUTOMATIC,DIESEL
290,5,A Class,2015,12380,34119,20,70.6,1.5,MANUAL,DIESEL
291,5,A Class,2015,12490,35000,30,62.8,2.1,MANUAL,DIESEL
292,5,A Class,2015,12490,35104,20,68.9,1.5,SEMI-AUTO,DIESEL
293,5,A Class,2015,12495,24744,125,50.4,1.5,AUTOMATIC,DIESEL
294,5,A Class,2015,12498,27680,30,64.2,2.1,MANUAL,DIESEL
295,5,A Class,2015,12500,32713,20,72.4,1.5,MANUAL,DIESEL
296,5,A Class,2015,12519,32259,30,52.3,1.6,AUTOMATIC,PETROL
297,5,A Class,2015,12595,49757,20,68.9,1.5,AUTOMATIC,DIESEL
298,5,A Class,2015,12699,34950,20,70.6,1.5,MANUAL,DIESEL
299,5,A Class,2015,12700,27085,20,72.4,1.5,MANUAL,DIESEL
300,5,A Class,2015,12790,28445,20,68.9,1.5,SEMI-AUTO,DIESEL
301,5,A Class,2015,12795,42420,20,65.7,1.5,AUTOMATIC,DIESEL
302,5,A Class,2015,12798,54859,20,70.6,1.5,MANUAL,DIESEL
303,5,A Class,2015,12900,22369,20,68.9,1.5,SEMI-AUTO,DIESEL
304,5,A Class,2015,12900,57230,30,62.8,2.1,MANUAL,DIESEL
305,5,A Class,2015,12950,33080,20,68.9,2.1,SEMI-AUTO,DIESEL
306,5,A Class,2015,12995,34665,20,70.6,1.5,AUTOMATIC,DIESEL
307,5,A Class,2015,12998,42724,20,68.9,2.1,SEMI-AUTO,DIESEL
308,5,A Class,2015,12999,25301,20,72.4,1.5,MANUAL,DIESEL
309,5,A Class,2015,13000,19561,145,48.7,1.6,MANUAL,PETROL
310,5,A Class,2015,13022,32230,20,68.9,1.5,SEMI-AUTO,DIESEL
311,5,A Class,2015,13046,43531,20,70.6,1.5,MANUAL,DIESEL
312,5,A Class,2015,13109,24091,20,68.9,2.1,SEMI-AUTO,DIESEL
313,5,A Class,2015,13177,18284,125,50.4,1.6,AUTOMATIC,PETROL
314,5,A Class,2015,13299,20233,20,68.9,1.5,AUTOMATIC,DIESEL
315,5,A Class,2015,13300,27850,20,68.9,1.5,AUTOMATIC,DIESEL
316,5,A Class,2015,13300,37421,30,62.8,2.1,MANUAL,DIESEL
317,5,A Class,2015,13300,40599,20,68.9,2.1,AUTOMATIC,DIESEL
318,5,A Class,2015,13400,25300,20,68.9,1.5,SEMI-AUTO,DIESEL
319,5,A Class,2015,13400,39578,30,62.8,2.1,MANUAL,DIESEL
320,5,A Class,2015,13469,36050,30,62.8,2.1,MANUAL,DIESEL
321,5,A Class,2015,13480,32971,20,68.9,2.1,AUTOMATIC,DIESEL
322,5,A Class,2015,13491,42331,30,65.7,1.5,SEMI-AUTO,DIESEL
323,5,A Class,2015,13500,21817,20,74.3,1.5,AUTOMATIC,DIESEL
324,5,A Class,2015,13500,35343,20,68.9,2.1,SEMI-AUTO,DIESEL
325,5,A Class,2015,13680,45376,20,72.4,1.5,MANUAL,DIESEL
326,5,A Class,2015,13699,30035,20,68.9,1.5,MANUAL,DIESEL
327,5,A Class,2015,13700,38412,20,64.2,2.1,AUTOMATIC,DIESEL
328,5,A Class,2015,13799,67917,20,68.9,2.1,AUTOMATIC,DIESEL
329,5,A Class,2015,13822,27467,20,74.3,1.5,AUTOMATIC,DIESEL
330,5,A Class,2015,13959,28051,145,49.6,1.6,MANUAL,PETROL
331,5,A Class,2015,13995,31103,20,74.3,1.5,SEMI-AUTO,DIESEL
332,5,A Class,2015,14000,20682,20,68.9,2.1,SEMI-AUTO,DIESEL
333,5,A Class,2015,14000,26956,20,68.9,2.1,AUTOMATIC,DIESEL
334,5,A Class,2015,14000,27938,20,68.9,2.1,AUTOMATIC,DIESEL
335,5,A Class,2015,14092,47275,20,64.2,2.1,SEMI-AUTO,DIESEL
336,5,A Class,2015,14099,33730,20,68.9,2.1,AUTOMATIC,DIESEL
337,5,A Class,2015,14143,52115,20,67.3,2.1,AUTOMATIC,DIESEL
338,5,A Class,2015,14270,51364,20,68.9,2.1,SEMI-AUTO,DIESEL
339,5,A Class,2015,14298,30084,20,64.2,2.1,SEMI-AUTO,DIESEL
340,5,A Class,2015,14400,27442,20,70.6,1.5,MANUAL,DIESEL
341,5,A Class,2015,14499,14807,20,68.9,2.1,SEMI-AUTO,DIESEL
342,5,A Class,2015,14499,59558,30,62.8,2.1,MANUAL,DIESEL
343,5,A Class,2015,14599,19227,20,70.6,2.1,AUTOMATIC,DIESEL
