SAFETY_KEY,VEHICLE_ID,VEHICLE_DESCRIPTION,NHTSA_MODEL,UK_MODEL
39,5254,2009 Mercedes-Benz C-Class 4-DR. w/SAB,C-CLASS," C Class"
2,121,2011 Mercedes-Benz CLS-Class 4 DR RWD,CLS-CLASS," CLS Class"
151,11664,2017 Mercedes-Benz CLA-Class 4 DR 4WD,CLA-CLASS," CLA Class"
157,11670,2017 Mercedes-Benz E-Class 4 DR RWD,E-CLASS," E Class"
169,11688,2017 Mercedes-Benz S-Class C 4WD,S-CLASS," S Class"
107,9686,2015 Mercedes-Benz Cla-Class 4 DR FWD,CLA-CLASS," CLA Class"
25,2240,2007 Mercedes-Benz SL-Class Convertible w/SAB,SL-CLASS," SL CLASS"
47,5850,2010 Mercedes-Benz E-Class 2-DR. w/SAB,E-CLASS," E Class"
199,12492,2018 Mercedes-Benz GLC-Class SUV RWD,GLC-CLASS," GLC Class"
138,10792,2016 Mercedes-Benz GLC-Class 4 DR RWD,GLC-CLASS," GLC Class"
230,15046,2019 Mercedes-Benz C-Class 4 DR 4WD,C-CLASS," C Class"
215,14055,2019 Mercedes-Benz SL-Class C RWD,SL-CLASS," SL CLASS"
114,9695,2015 Mercedes-Benz GLA-Class 4 DR 4WD,GLA-CLASS," GLA Class"
252,15082,2020 Mercedes-Benz E-Class 4 DR 4WD,E-CLASS," E Class"
255,15087,2020 Mercedes-Benz S-Class 4 DR 4WD,S-CLASS," S Class"
12,705,2011 Mercedes-Benz C-Class 4 DR AWD,C-CLASS," C Class"
71,7684,2013 Mercedes-Benz S-Class 4 DR 4WD,S-CLASS," S Class"
26,2242,2007 Mercedes-Benz R-Class 4-DR. w/SAB,R-CLASS," R Class"
10,529,2011 Mercedes-Benz R-Class SUV AWD,R-CLASS," R Class"
218,14061,2019 Mercedes-Benz CLA-Class 4 DR 4WD,CLA-CLASS," CLA Class"
41,5259,2009 Mercedes-Benz E-Class 4-DR. w/SAB,E-CLASS," E Class"
248,15074,2020 Mercedes-Benz G-Class SUV 4WD,G-CLASS," G Class"
24,2238,2007 Mercedes-Benz CLS 4-DR. w/SAB,CLS-CLASS," CLS Class"
158,11671,2017 Mercedes-Benz E-CLASS SW RWD,E-CLASS," E Class"
135,10789,2016 Mercedes-Benz GLA-Class 4 DR 4WD,GLA-CLASS," GLA Class"
120,10208,2016 Mercedes-Benz E-Class 4 DR RWD,E-CLASS," E Class"
206,14035,2019 Mercedes-Benz C-Class 2 DR RWD,C-CLASS," C Class"
65,7464,2013 Mercedes-Benz CLS-Class 2 DR RWD,CLS-CLASS," CLS Class"
185,12477,2018 Mercedes-Benz E-Class 4 DR 4WD,E-CLASS," E Class"
250,15079,2020 Mercedes-Benz C-Class 4 DR 4WD,C-CLASS," C Class"
51,6368,2012 Mercedes-Benz E-Class 2 DR RWD,E-CLASS," E Class"
73,7739,2013 Mercedes-Benz E-Class 2 DR RWD,E-CLASS," E Class"
184,12476,2018 Mercedes-Benz E-Class 4 DR RWD,E-CLASS," E Class"
128,10779,2016 Mercedes-Benz Cls-Class 4 DR 4WD,CLS-CLASS," CLS Class"
68,7471,2013 Mercedes-Benz S-Class 4 DR RWD,S-CLASS," S Class"
172,11758,2017 Mercedes-Benz C-Class 2 DR 4WD,C-CLASS," C Class"
242,15065,2020 Mercedes-Benz A-Class 4 DR FWD,A-CLASS," A Class"
204,12501,2018 Mercedes-Benz GLS-Class SUV 4WD,GLS-CLASS," GLS Class"
198,12491,2018 Mercedes-Benz GLA-Class 4 DR FWD,GLA-CLASS," GLA Class"
106,9685,2015 Mercedes-Benz Cla-Class 4 DR 4WD,CLA-CLASS," CLA Class"
113,9694,2015 Mercedes-Benz GL-Class SUV 4WD,GL-CLASS," GL Class"
4,124,2011 Mercedes-Benz E-Class 4 DR RWD,E-CLASS," E Class"
260,15094,2020 Mercedes-Benz GLB-Class SUV 4WD,GLB-CLASS," GLB Class"
177,12469,2018 Mercedes-Benz C-Class 2 DR RWD,C-CLASS," C Class"
129,10780,2016 Mercedes-Benz Cls-Class 4 DR RWD,CLS-CLASS," CLS Class"
181,12473,2018 Mercedes-Benz E-Class 2 DR RWD,E-CLASS," E Class"
22,2162,2007 Mercedes-Benz C-Class 4-DR. w/SAB,C-CLASS," C Class"
189,12481,2018 Mercedes-Benz CLS-Class 4 DR 4WD,CLS-CLASS," CLS Class"
190,12482,2018 Mercedes-Benz S-Class 4 DR 4WD,S-CLASS," S Class"
123,10211,2016 Mercedes-Benz GLE-Class SUV RWD,GLE-CLASS," GLE Class"
55,6739,2012 Mercedes-Benz C-Class 4 DR AWD,C-CLASS," C Class"
96,9224,2015 Mercedes-Benz E-Class 4 DR RWD,E-CLASS," E Class"
54,6377,2012 Mercedes-Benz G-Class SUV AWD,G-CLASS," G Class"
8,524,2011 Mercedes-Benz E-Class 2 DR AWD,E-CLASS," E Class"
259,15093,2020 Mercedes-Benz GLA-Class SUV 4WD,GLA-CLASS," GLA Class"
145,11656,2017 Mercedes-Benz C-Class 2 DR RWD,C-CLASS," C Class"
20,1759,2006 Mercedes-Benz C-Class 4-DR. w/SAB,C-CLASS," C Class"
90,8626,2014 Mercedes-Benz SL-CLASS C RWD,SL-CLASS," SL CLASS"
126,10774,2016 Mercedes-Benz C-Class 4 DR 4WD,C-CLASS," C Class"
64,7463,2013 Mercedes-Benz CL-Class 2 DR RWD,CL-CLASS," CL Class"
136,10790,2016 Mercedes-Benz GLA-Class 4 DR FWD,GLA-CLASS," GLA Class"
85,8620,2014 Mercedes-Benz CLS-CLASS 2 DR 4WD,CLS-CLASS," CLS Class"
258,15092,2020 Mercedes-Benz CLA-Class 4 DR 4WD,CLA-CLASS," CLA Class"
66,7467,2013 Mercedes-Benz G-Class SUV AWD,G-CLASS," G Class"
241,15063,2020 Mercedes-Benz SL-Class C RWD,SL-CLASS," SL CLASS"
254,15086,2020 Mercedes-Benz CLS-Class 4 DR 4WD,CLS-CLASS," CLS Class"
6,130,2011 Mercedes-Benz S-Class 4 DR RWD,S-CLASS," S Class"
43,5840,2010 Mercedes-Benz C-Class 4-DR. w/SAB,C-CLASS," C Class"
115,9696,2015 Mercedes-Benz GLA-Class 4 DR FWD,GLA-CLASS," GLA Class"
223,14071,2019 Mercedes-Benz S-Class 2 DR 4WD,S-CLASS," S Class"
61,7244,2013 Mercedes-Benz C-Class 4 DR AWD,C-CLASS," C Class"
108,9687,2015 Mercedes-Benz Cls-Class 4 DR 4WD,CLS-CLASS," CLS Class"
63,7246,2013 Mercedes-Benz E-Class 4 DR AWD,E-CLASS," E Class"
52,6370,2012 Mercedes-Benz E-Class 4 DR RWD,E-CLASS," E Class"
142,11189,2017 Mercedes-Benz C-Class 4 DR RWD,C-CLASS," C Class"
225,14073,2019 Mercedes-Benz GLE-Class SUV RWD,GLE-CLASS," GLE Class"
117,9700,2015 Mercedes-Benz S-Class 4 DR RWD,S-CLASS," S Class"
139,10793,2016 Mercedes-Benz GL-Class SUV 4WD,GL-CLASS," GL Class"
194,12486,2018 Mercedes-Benz SL-Class C RWD,SL-CLASS," SL CLASS"
67,7468,2013 Mercedes-Benz GL-Class SUV 4WD,GL-CLASS," GL Class"
88,8624,2014 Mercedes-Benz CL-CLASS 2 DR RWD,CL-CLASS," CL Class"
146,11658,2017 Mercedes-Benz C-Class C RWD,C-CLASS," C Class"
253,15084,2020 Mercedes-Benz E-Class 2 DR 4WD,E-CLASS," E Class"
7,131,2011 Mercedes-Benz Sl-Class C RWD,SL-CLASS," SL CLASS"
49,6364,2012 Mercedes-Benz CLS-Class 4 DR RWD,CLS-CLASS," CLS Class"
37,4714,2003 Mercedes-Benz SL-Class Convertible w/SAB,SL-CLASS," SL CLASS"
102,9681,2015 Mercedes-Benz C-Class 2 DR 4WD,C-CLASS," C Class"
237,15055,2020 Mercedes-Benz E-Class 2 DR RWD,E-CLASS," E Class"
239,15058,2020 Mercedes-Benz S-Class 4 DR RWD,S-CLASS," S Class"
21,1760,2006 Mercedes-Benz E-Class 4-DR. w/SAB,E-CLASS," E Class"
140,10801,2016 Mercedes-Benz SL-Class C RWD,SL-CLASS," SL CLASS"
46,5848,2010 Mercedes-Benz SL-Class Convertible w/SAB,SL-CLASS," SL CLASS"
32,2774,2008 Mercedes-Benz C-Class 4-DR. w/SAB,C-CLASS," C Class"
79,8337,2014 Mercedes-Benz E-Class 4 DR AWD,E-CLASS," E Class"
183,12475,2018 Mercedes-Benz E-CLASS SW 4WD,E-CLASS," E Class"
53,6373,2012 Mercedes-Benz B-Class 4 DR RWD,B-CLASS," B Class"
1,119,2011 Mercedes-Benz C-Class 4 DR RWD,C-CLASS," C Class"
56,6741,2012 Mercedes-Benz CLS-Class 4 DR AWD,CLS-CLASS," CLS Class"
168,11687,2017 Mercedes-Benz S-Class 4 DR 4WD,S-CLASS," S Class"
112,9693,2015 Mercedes-Benz G-Class SUV AWD,G-CLASS," G Class"
219,14062,2019 Mercedes-Benz CLS-Class 4 DR 4WD,CLS-CLASS," CLS Class"
246,15069,2020 Mercedes-Benz GLC-Class SUV RWD,GLC-CLASS," GLC Class"
243,15066,2020 Mercedes-Benz CLA-Class 4 DR FWD,CLA-CLASS," CLA Class"
167,11686,2017 Mercedes-Benz S-Class 4 DR RWD,S-CLASS," S Class"
125,10733,2016 Mercedes-Benz Cla-Class 4 DR 4WD,CLA-CLASS," CLA Class"
118,9703,2015 Mercedes-Benz SL-Class C RWD,SL-CLASS," SL CLASS"
29,2442,2008 Mercedes-Benz E-Class Wagon 4-DR. w/SAB,E-CLASS," E Class"
216,14058,2019 Mercedes-Benz A-Class 4 DR 4WD,A-CLASS," A Class"
130,10781,2016 Mercedes-Benz E-Class 2 DR RWD,E-CLASS," E Class"
166,11685,2017 Mercedes-Benz GLS-Class SUV 4WD,GLS-CLASS," GLS Class"
207,14036,2019 Mercedes-Benz CLA-Class 4 DR FWD,CLA-CLASS," CLA Class"
188,12480,2018 Mercedes-Benz CLS-Class 4 DR RWD,CLS-CLASS," CLS Class"
95,8641,2014 Mercedes-Benz GL-CLASS SUV 4WD,GL-CLASS," GL Class"
83,8618,2014 Mercedes-Benz C-CLASS 2 DR 4WD,C-CLASS," C Class"
195,12488,2018 Mercedes-Benz CLA-Class 4 DR FWD,CLA-CLASS," CLA Class"
97,9225,2015 Mercedes-Benz E-Class 4 DR 4WD,E-CLASS," E Class"
234,15050,2020 Mercedes-Benz C-Class 4 DR RWD,C-CLASS," C Class"
217,14060,2019 Mercedes-Benz C-Class 2 DR 4WD,C-CLASS," C Class"
182,12474,2018 Mercedes-Benz E-CLASS SW RWD,E-CLASS," E Class"
229,15045,2019 Mercedes-Benz GLC-Class SUV RWD,GLC-CLASS," GLC Class"
196,12489,2018 Mercedes-Benz CLA-Class 4 DR 4WD,CLA-CLASS," CLA Class"
34,4416,2002 Mercedes-Benz C-Class w/SAB,C-CLASS," C Class"
5,129,2011 Mercedes-Benz R-Class SUV RWD,R-CLASS," R Class"
179,12471,2018 Mercedes-Benz C-Class 4 DR 4WD,C-CLASS," C Class"
226,15042,2019 Mercedes-Benz C-Class 4 DR RWD,C-CLASS," C Class"
76,8334,2014 Mercedes-Benz C-Class 4 DR RWD,C-CLASS," C Class"
257,15091,2020 Mercedes-Benz A-Class 4 DR 4WD,A-CLASS," A Class"
98,9226,2015 Mercedes-Benz E-CLASS SW RWD,E-CLASS," E Class"
210,14040,2019 Mercedes-Benz G-Class SUV 4WD,G-CLASS," G Class"
148,11661,2017 Mercedes-Benz CL-Class 2 DR 4WD,CL-CLASS," CL Class"
131,10782,2016 Mercedes-Benz E-Class 2 DR 4WD,E-CLASS," E Class"
99,9227,2015 Mercedes-Benz E-CLASS SW 4WD,E-CLASS," E Class"
222,14068,2019 Mercedes-Benz S-Class 4 DR 4WD,S-CLASS," S Class"
187,12479,2018 Mercedes-Benz E-Class C RWD,E-CLASS," E Class"
175,12467,2018 Mercedes-Benz C-Class C RWD,C-CLASS," C Class"
261,15095,2020 Mercedes-Benz GLC-Class SUV 4WD,GLC-CLASS," GLC Class"
224,14072,2019 Mercedes-Benz GLE-Class SUV 4WD,GLE-CLASS," GLE Class"
127,10775,2016 Mercedes-Benz C-Class 4 DR RWD,C-CLASS," C Class"
165,11678,2017 Mercedes-Benz GLC-Class SUV 4WD,GLC-CLASS," GLC Class"
153,11666,2017 Mercedes-Benz CLS-Class 4 DR 4WD,CLS-CLASS," CLS Class"
152,11665,2017 Mercedes-Benz CLS-Class 4 DR RWD,CLS-CLASS," CLS Class"
201,12496,2018 Mercedes-Benz GLE-Class SUV RWD,GLE-CLASS," GLE Class"
69,7679,2013 Mercedes-Benz CL-Class 2 DR 4WD,CL-CLASS," CL Class"
80,8613,2014 Mercedes-Benz CLA-CLASS 4 DR FWD,CLA-CLASS," CLA Class"
15,1407,2005 Mercedes-Benz C-Class 2-DR w/SAB,C-CLASS," C Class"
82,8617,2014 Mercedes-Benz C-CLASS 2 DR RWD,C-CLASS," C Class"
84,8619,2014 Mercedes-Benz CLS-CLASS 2 DR RWD,CLS-CLASS," CLS Class"
70,7680,2013 Mercedes-Benz CLS-Class 2 DR 4WD,CLS-CLASS," CLS Class"
9,525,2011 Mercedes-Benz E-Class 4 DR AWD,E-CLASS," E Class"
81,8614,2014 Mercedes-Benz CLA-CLASS 4 DR 4WD,CLA-CLASS," CLA Class"
27,2245,2007 Mercedes-Benz GL-Class 4-DR w/SAB,GL-CLASS," GL Class"
119,10207,2016 Mercedes-Benz E-Class 4 DR 4WD,E-CLASS," E Class"
227,15043,2019 Mercedes-Benz E-Class 4 DR RWD,E-CLASS," E Class"
213,14050,2019 Mercedes-Benz S-Class 4 DR RWD,S-CLASS," S Class"
42,5436,2009 Mercedes-Benz S-Class 4-DR w/SAB,S-CLASS," S Class"
132,10785,2016 Mercedes-Benz G-Class SUV AWD,G-CLASS," G Class"
50,6365,2012 Mercedes-Benz S-Class 4 DR RWD,S-CLASS," S Class"
36,4642,2002 Mercedes-Benz SL-Class Convertible w/SAB,SL-CLASS," SL CLASS"
101,9680,2015 Mercedes-Benz C-Class 4 DR RWD,C-CLASS," C Class"
240,15061,2020 Mercedes-Benz S-Class 2 DR RWD,S-CLASS," S Class"
31,2473,2008 Mercedes-Benz CL-Class 2-DR w/SAB,CL-CLASS," CL Class"
164,11677,2017 Mercedes-Benz GLC-Class SUV RWD,GLC-CLASS," GLC Class"
57,6742,2012 Mercedes-Benz E-Class 2 DR AWD,E-CLASS," E Class"
77,8335,2014 Mercedes-Benz C-Class 4 DR AWD,C-CLASS," C Class"
116,9699,2015 Mercedes-Benz S-Class 4 DR 4WD,S-CLASS," S Class"
186,12478,2018 Mercedes-Benz E-Class C 4WD,E-CLASS," E Class"
3,123,2011 Mercedes-Benz E-Class 2 DR RWD,E-CLASS," E Class"
192,12484,2018 Mercedes-Benz S-Class C 4WD,S-CLASS," S Class"
133,10786,2016 Mercedes-Benz S-Class 4 DR 4WD,S-CLASS," S Class"
110,9691,2015 Mercedes-Benz E-Class 2 DR 4WD,E-CLASS," E Class"
13,1204,2004 Mercedes-Benz C-Class 4-DR. w/SAB,C-CLASS," C Class"
221,14065,2019 Mercedes-Benz GLA-Class SUV 4WD,GLA-CLASS," GLA Class"
45,5847,2010 Mercedes-Benz S-Class 4-DR w/SAB,S-CLASS," S Class"
104,9683,2015 Mercedes-Benz Cl-Class 2 DR 4WD,CL-CLASS," CL Class"
149,11662,2017 Mercedes-Benz CL-Class 2 DR RWD,CL-CLASS," CL Class"
231,15047,2019 Mercedes-Benz E-Class 4 DR 4WD,E-CLASS," E Class"
200,12493,2018 Mercedes-Benz GLC-Class SUV 4WD,GLC-CLASS," GLC Class"
180,12472,2018 Mercedes-Benz E-Class 2 DR 4WD,E-CLASS," E Class"
163,11676,2017 Mercedes-Benz GLA-Class 4 DR FWD,GLA-CLASS," GLA Class"
59,6748,2012 Mercedes-Benz S-Class 4 DR AWD,S-CLASS," S Class"
92,8628,2014 Mercedes-Benz E-CLASS 2 DR 4WD,E-CLASS," E Class"
262,15097,2020 Mercedes-Benz GLE-Class SUV 4WD,GLE-CLASS," GLE Class"
159,11672,2017 Mercedes-Benz E-CLASS SW 4WD,E-CLASS," E Class"
212,14045,2019 Mercedes-Benz GLS-Class SUV 4WD,GLS-CLASS," GLS Class"
11,530,2011 Mercedes-Benz Sl-Class C AWD,SL-CLASS," SL CLASS"
58,6743,2012 Mercedes-Benz E-Class 4 DR AWD,E-CLASS," E Class"
155,11668,2017 Mercedes-Benz E-Class 2 DR RWD,E-CLASS," E Class"
38,4715,2003 Mercedes-Benz SLK w/SAB,SLK," SLK"
137,10791,2016 Mercedes-Benz GLC-Class 4 DR 4WD,GLC-CLASS," GLC Class"
156,11669,2017 Mercedes-Benz E-Class 4 DR 4WD,E-CLASS," E Class"
75,7751,2013 Mercedes-Benz E-Class 2 DR 4WD,E-CLASS," E Class"
134,10787,2016 Mercedes-Benz S-Class 4 DR RWD,S-CLASS," S Class"
203,12500,2018 Mercedes-Benz G-Class SUV AWD,G-CLASS," G Class"
19,1485,2005 Mercedes-Benz E-Class 4-DR. w/SAB,E-CLASS," E Class"
256,15089,2020 Mercedes-Benz S-Class 2 DR 4WD,S-CLASS," S Class"
16,1415,2005 Mercedes-Benz S-Class 4-DR,S-CLASS," S Class"
74,7750,2013 Mercedes-Benz C-Class 2 DR 4WD,C-CLASS," C Class"
251,15080,2020 Mercedes-Benz C-Class 2 DR 4WD,C-CLASS," C Class"
160,11673,2017 Mercedes-Benz E-Class C RWD,E-CLASS," E Class"
111,9692,2015 Mercedes-Benz E-Class 2 DR RWD,E-CLASS," E Class"
33,4410,2002 Mercedes-Benz S-Class 4DR. w/SAB,S-CLASS," S Class"
208,14037,2019 Mercedes-Benz CLS-Class 4 DR RWD,CLS-CLASS," CLS Class"
193,12485,2018 Mercedes-Benz S-Class C RWD,S-CLASS," S Class"
214,14053,2019 Mercedes-Benz S-Class 2 DR RWD,S-CLASS," S Class"
211,14041,2019 Mercedes-Benz GLA-Class SUV FWD,GLA-CLASS," GLA Class"
174,12466,2018 Mercedes-Benz C-Class C 4WD,C-CLASS," C Class"
72,7738,2013 Mercedes-Benz C-Class 2 DR RWD,C-CLASS," C Class"
23,2163,2007 Mercedes-Benz E-Class 4-DR. w/SAB,E-CLASS," E Class"
103,9682,2015 Mercedes-Benz C-Class 2 DR RWD,C-CLASS," C Class"
17,1416,2005 Mercedes-Benz SL-Class C-DR,SL-CLASS," SL CLASS"
109,9688,2015 Mercedes-Benz Cls-Class 4 DR RWD,CLS-CLASS," CLS Class"
150,11663,2017 Mercedes-Benz CLA-Class 4 DR FWD,CLA-CLASS," CLA Class"
48,6363,2012 Mercedes-Benz C-Class 4 DR RWD,C-CLASS," C Class"
40,5258,2009 Mercedes-Benz E-Class Wagon 4-DR. w/SAB,E-CLASS," E Class"
141,11188,2017 Mercedes-Benz C-Class 4 DR 4WD,C-CLASS," C Class"
232,15048,2019 Mercedes-Benz E-Class SW 4WD,E-CLASS," E Class"
233,15049,2019 Mercedes-Benz GLC-Class SUV 4WD,GLC-CLASS," GLC Class"
18,1484,2005 Mercedes-Benz C-Class 4-DR. w/SAB,C-CLASS," C Class"
173,11765,2017 Mercedes-Benz G-Class SUV AWD,G-CLASS," G Class"
44,5843,2010 Mercedes-Benz E-Class 4-DR. w/SAB,E-CLASS," E Class"
94,8634,2014 Mercedes-Benz E-CLASS SW 4WD,E-CLASS," E Class"
91,8627,2014 Mercedes-Benz E-CLASS 2 DR RWD,E-CLASS," E Class"
249,15075,2020 Mercedes-Benz GLS-Class SUV 4WD,GLS-CLASS," GLS Class"
244,15067,2020 Mercedes-Benz GLA-Class SUV FWD,GLA-CLASS," GLA Class"
176,12468,2018 Mercedes-Benz C-Class 2 DR 4WD,C-CLASS," C Class"
209,14039,2019 Mercedes-Benz E-Class 2 DR RWD,E-CLASS," E Class"
93,8633,2014 Mercedes-Benz E-CLASS SW RWD,E-CLASS," E Class"
147,11659,2017 Mercedes-Benz C-Class C 4WD,C-CLASS," C Class"
197,12490,2018 Mercedes-Benz GLA-Class 4 DR 4WD,GLA-CLASS," GLA Class"
124,10212,2016 Mercedes-Benz GLE-Class SUV 4WD,GLE-CLASS," GLE Class"
