MODEL,YEAR,PRICE,TRANSMISSION,MILEAGE,FUEL_TYPE,TAX,MPG,ENGINE_SIZE
S Class,2014,41980,AUTOMATIC,26000,PETROL,555,28,5.5
GL Class,2007,7340,AUTOMATIC,104000,DIESEL,570,28.8,3
GL Class,2007,8490,AUTOMATIC,74000,DIESEL,570,28.8,3
C Class,2009,4480,AUTOMATIC,130000,DIESEL,300,37.7,3
S Class,2016,24880,AUTOMATIC,75000,HYBRID,190,42.4,3.5
E Class,2015,17480,AUTOMATIC,22000,DIESEL,140,53.3,3
E Class,2007,4880,AUTOMATIC,58000,DIESEL,315,37.2,3
S Class,2015,38980,AUTOMATIC,11000,PETROL,270,33.2,4.7
SLK,2010,7495,MANUAL,59147,PETROL,300,36.2,1.8
C Class,2007,3790,AUTOMATIC,99000,PETROL,555,28.8,2.5
C Class,2007,3890,AUTOMATIC,87000,PETROL,325,32.5,1.8
CL Class,2015,17863,SEMI-AUTO,14360,DIESEL,20,62.8,2.1
GLA Class,2015,17624,AUTOMATIC,29505,DIESEL,125,55.4,2.1
A Class,2018,18220,AUTOMATIC,10361,DIESEL,145,68.9,1.5
SL CLASS,2017,18775,AUTOMATIC,19522,DIESEL,30,70.6,2.1
SL CLASS,2017,20745,AUTOMATIC,23103,DIESEL,30,70.6,2.1
A Class,2019,18118,AUTOMATIC,15561,DIESEL,145,68.9,1.5
A Class,2019,17990,AUTOMATIC,14783,DIESEL,145,65.7,1.5
SL CLASS,2019,28491,SEMI-AUTO,9477,PETROL,145,47.1,2
A Class,2018,18888,AUTOMATIC,11565,DIESEL,145,67.3,1.5
A Class,2019,19840,AUTOMATIC,6781,PETROL,145,28.5,1.3
A Class,2019,18241,AUTOMATIC,15722,DIESEL,145,65.7,1.5
A Class,2019,18141,AUTOMATIC,15689,DIESEL,145,65.7,1.5
GLS Class,2016,37385,AUTOMATIC,21169,DIESEL,305,37.2,3
CLS Class,2017,26166,AUTOMATIC,9165,DIESEL,150,51.4,3
B Class,2019,24616,AUTOMATIC,3710,DIESEL,145,55.4,2
C Class,2019,30403,AUTOMATIC,3000,PETROL,145,46.3,1.5
SL CLASS,2019,30670,AUTOMATIC,3000,PETROL,145,47.1,2
C Class,2020,30960,AUTOMATIC,3000,DIESEL,145,64.2,2
A Class,2020,24107,AUTOMATIC,3500,DIESEL,145,62.8,1.5
C Class,2019,24510,AUTOMATIC,11368,DIESEL,145,58.9,1.6
GL Class,2016,35371,AUTOMATIC,14253,DIESEL,325,36.2,3
GLC Class,2019,33729,AUTOMATIC,11301,DIESEL,145,56.5,2.1
C Class,2019,29623,AUTOMATIC,7500,DIESEL,145,64.2,2
C Class,2019,27964,AUTOMATIC,5617,DIESEL,145,57.7,2
B Class,2019,21394,AUTOMATIC,9573,PETROL,145,45.6,1.3
B Class,2019,20882,AUTOMATIC,14257,PETROL,145,45.6,1.3
CLS Class,2019,37352,AUTOMATIC,3000,DIESEL,150,45.6,2
C Class,2018,18051,AUTOMATIC,11319,DIESEL,145,65.7,1.6
C Class,2019,24433,AUTOMATIC,2326,PETROL,145,46.3,1.5
GLC Class,2019,37116,AUTOMATIC,6250,DIESEL,145,40.9,2
GLA Class,2019,22375,AUTOMATIC,13850,DIESEL,145,67.3,2.1
C Class,2019,24915,AUTOMATIC,13101,DIESEL,145,61.4,2
E Class,2019,29991,AUTOMATIC,10356,DIESEL,145,70.6,2
A Class,2019,22596,AUTOMATIC,5382,DIESEL,145,62.8,1.5
A Class,2019,22730,AUTOMATIC,1521,DIESEL,145,56.5,2
C Class,2019,26154,AUTOMATIC,14696,DIESEL,145,56.5,2
E Class,2020,35438,AUTOMATIC,3500,DIESEL,145,42.8,2
C Class,2019,27980,AUTOMATIC,3168,DIESEL,145,55.4,2
C Class,2019,28250,AUTOMATIC,3477,DIESEL,145,61.4,2
B Class,2019,23280,AUTOMATIC,6441,PETROL,145,44.1,1.3
C Class,2017,15700,AUTOMATIC,19023,DIESEL,145,65.7,2.1
CLA Class,2017,18790,AUTOMATIC,8423,DIESEL,150,67.3,2.1
GLE Class,2020,54995,AUTOMATIC,6700,DIESEL,150,32.8,3
A Class,2018,20450,AUTOMATIC,6511,DIESEL,150,65.7,1.5
A Class,2014,11980,AUTOMATIC,66690,DIESEL,20,64.2,2.1
C Class,2017,19890,AUTOMATIC,26878,PETROL,150,48.7,2
GLA Class,2018,20350,AUTOMATIC,24556,DIESEL,145,56.5,2.1
E Class,2017,22890,AUTOMATIC,34934,DIESEL,150,61.4,2
A Class,2017,18890,AUTOMATIC,7875,PETROL,150,53.3,1.6
B Class,2017,15480,AUTOMATIC,23290,DIESEL,20,68.9,2.1
E Class,2016,16480,AUTOMATIC,48889,DIESEL,125,58.9,2.1
CLA Class,2017,20480,AUTOMATIC,31949,DIESEL,150,58.9,2.1
GLC Class,2016,25780,AUTOMATIC,34358,DIESEL,125,56.5,2.1
C Class,2017,21000,AUTOMATIC,25000,HYBRID,140,134.5,2
GLA Class,2016,17800,AUTOMATIC,34092,DIESEL,125,56.6,2.1
B Class,2019,20700,AUTOMATIC,14931,PETROL,145,45.6,1.3
C Class,2016,17890,AUTOMATIC,44184,PETROL,125,50.4,2
C Class,2009,4200,AUTOMATIC,96000,DIESEL,235,42.2,2.1
E Class,2017,20998,SEMI-AUTO,21352,DIESEL,20,72.4,2
GLA Class,2015,18998,SEMI-AUTO,33114,DIESEL,125,56.5,2.1
C Class,2017,24998,SEMI-AUTO,28234,PETROL,160,43.5,2
CL Class,2015,17498,MANUAL,15557,PETROL,125,50.4,1.6
C Class,2016,19498,SEMI-AUTO,22803,DIESEL,30,61.4,2.1
C Class,2018,23498,SEMI-AUTO,17093,DIESEL,145,67.3,2.1
E Class,2014,15998,SEMI-AUTO,43125,DIESEL,200,45.6,3
S Class,2016,28498,SEMI-AUTO,30135,DIESEL,200,47.9,3
CL Class,2015,16498,MANUAL,25920,PETROL,125,51.4,1.6
GLC Class,2020,37998,SEMI-AUTO,5538,DIESEL,150,40.9,2
C Class,2014,16995,AUTOMATIC,37600,DIESEL,30,64.2,2.1
A Class,2016,27995,AUTOMATIC,13000,PETROL,200,40.9,2
S Class,2015,29995,AUTOMATIC,17700,DIESEL,200,48.7,3
GLC Class,2017,26995,SEMI-AUTO,37950,DIESEL,145,56.5,2.1
C Class,2017,24995,AUTOMATIC,14000,PETROL,145,47.1,2
GLE Class,2016,29995,AUTOMATIC,27700,DIESEL,200,47.9,2.1
A Class,2019,18995,SEMI-AUTO,21400,PETROL,145,53.3,1.3
B Class,2015,11995,SEMI-AUTO,41500,DIESEL,20,67.3,1.5
G Class,2015,52995,SEMI-AUTO,34400,DIESEL,570,25.2,3
E Class,2017,23995,SEMI-AUTO,19300,DIESEL,30,65.7,2
E Class,2015,17698,SEMI-AUTO,27622,DIESEL,145,54.3,3
CLS Class,2014,15998,SEMI-AUTO,31815,DIESEL,145,54.3,2.1
E Class,2016,20298,SEMI-AUTO,25273,DIESEL,145,54.3,3
C Class,2014,12998,SEMI-AUTO,52712,DIESEL,20,64.2,2.1
A Class,2013,11998,SEMI-AUTO,54060,DIESEL,30,64.2,2.1
C Class,2017,17998,SEMI-AUTO,59858,DIESEL,145,64.2,2.1
GLA Class,2016,16998,SEMI-AUTO,50543,DIESEL,125,56.5,2.1
S Class,2019,48998,SEMI-AUTO,375,DIESEL,145,52.3,3
C Class,2019,28998,MANUAL,22,PETROL,145,48.7,1.6
E Class,2019,46998,SEMI-AUTO,3325,PETROL,145,32.5,3
A Class,2017,17498,SEMI-AUTO,16244,DIESEL,145,74.3,1.5
S Class,2016,26498,SEMI-AUTO,36121,DIESEL,200,47.9,3
B Class,2013,8998,SEMI-AUTO,46108,DIESEL,30,64.2,1.8
GLA Class,2016,19498,SEMI-AUTO,27846,DIESEL,125,56.5,2.1
E Class,2017,20498,SEMI-AUTO,20195,DIESEL,20,72.4,2
C Class,2018,22998,SEMI-AUTO,18739,DIESEL,150,60.1,2.1
C Class,2016,12998,MANUAL,53453,DIESEL,20,70.6,2.1
C Class,2016,22998,SEMI-AUTO,23090,DIESEL,30,65.7,2.1
S Class,2015,27998,SEMI-AUTO,14158,DIESEL,200,47.9,3
S Class,2015,26498,SEMI-AUTO,27343,DIESEL,200,48.7,3
V Class,2017,27998,SEMI-AUTO,58590,DIESEL,235,44.8,2.2
E Class,2019,36998,SEMI-AUTO,5211,DIESEL,145,70.6,2
GLC Class,2017,26998,SEMI-AUTO,9172,DIESEL,145,56.5,2.1
E Class,2015,19498,SEMI-AUTO,26999,DIESEL,160,51.4,3
C Class,2019,25498,SEMI-AUTO,8150,DIESEL,145,60.1,1.6
E Class,2019,28998,SEMI-AUTO,26100,DIESEL,145,65.7,2
C Class,2019,24998,SEMI-AUTO,9344,DIESEL,145,55.4,2
GLA Class,2020,27998,SEMI-AUTO,3930,PETROL,150,35.8,1.6
GLC Class,2019,35998,SEMI-AUTO,7540,DIESEL,145,40.9,2
GLC Class,2019,32998,SEMI-AUTO,12831,DIESEL,145,44.8,2
GLE Class,2016,24998,SEMI-AUTO,42913,DIESEL,200,47.9,2.1
C Class,2017,21498,SEMI-AUTO,20981,DIESEL,30,64.2,2.1
E Class,2017,20998,SEMI-AUTO,22930,DIESEL,145,72.4,2
S Class,2016,25498,SEMI-AUTO,44072,DIESEL,200,47.9,3
B Class,2015,13498,SEMI-AUTO,20789,DIESEL,20,67.3,1.5
A Class,2016,16998,SEMI-AUTO,29160,DIESEL,20,67.3,2.1
SL CLASS,2019,32998,SEMI-AUTO,2403,PETROL,145,47.1,2
B Class,2019,21498,MANUAL,4653,PETROL,145,45.6,1.3
E Class,2014,13998,SEMI-AUTO,33404,DIESEL,125,58.9,2.1
C Class,2017,18998,SEMI-AUTO,23760,DIESEL,30,64.2,2.1
C Class,2016,17998,MANUAL,26100,DIESEL,20,68.9,2.1
C Class,2019,28498,SEMI-AUTO,4285,DIESEL,145,61.4,2
C Class,2016,18998,SEMI-AUTO,28388,DIESEL,30,64.2,1.6
A Class,2019,19498,SEMI-AUTO,14899,DIESEL,145,68.9,1.5
C Class,2017,20998,SEMI-AUTO,16902,DIESEL,145,60.1,2.1
B Class,2019,20998,SEMI-AUTO,10713,PETROL,145,45.6,1.3
M Class,2015,21498,SEMI-AUTO,43339,DIESEL,200,39.2,2.1
E Class,2017,19998,SEMI-AUTO,46230,DIESEL,145,67.3,2
SL CLASS,2017,19498,SEMI-AUTO,29114,DIESEL,30,70.6,2.1
E Class,2016,20498,SEMI-AUTO,37915,DIESEL,160,51.4,3
SL CLASS,2017,22498,SEMI-AUTO,11534,DIESEL,145,70.6,2.1
SL CLASS,2017,20998,SEMI-AUTO,18739,DIESEL,145,70.6,2.1
E Class,2017,20998,SEMI-AUTO,27671,DIESEL,145,72.4,2
A Class,2015,18998,SEMI-AUTO,23247,PETROL,200,42.8,2
C Class,2018,27498,SEMI-AUTO,9255,DIESEL,145,57.7,2
C Class,2016,16998,SEMI-AUTO,26973,DIESEL,30,65.7,1.6
E Class,2017,22998,SEMI-AUTO,16910,DIESEL,145,65.7,2
S Class,2015,24498,SEMI-AUTO,28191,DIESEL,200,47.9,3
C Class,2018,27498,SEMI-AUTO,12491,DIESEL,145,65.7,2.1
A Class,2015,16998,SEMI-AUTO,39587,PETROL,200,42.8,2
GLA Class,2015,17998,SEMI-AUTO,42942,PETROL,200,42.8,2
GLC Class,2016,23498,SEMI-AUTO,46259,DIESEL,125,56.5,2.1
A Class,2017,18298,SEMI-AUTO,7919,DIESEL,145,68.9,2.1
A Class,2019,22998,SEMI-AUTO,3770,PETROL,150,53.3,1.3
C Class,2014,26998,SEMI-AUTO,24175,PETROL,570,23.5,6.2
V Class,2018,19998,MANUAL,14941,DIESEL,145,46.3,2.1
V Class,2018,19498,MANUAL,21525,DIESEL,145,46.3,2.1
C Class,2014,15998,SEMI-AUTO,26216,DIESEL,30,64.2,2.1
C Class,2013,9298,SEMI-AUTO,80485,DIESEL,145,54.3,2.1
CL Class,2014,17298,SEMI-AUTO,33274,DIESEL,30,62.8,2.1
C Class,2018,20489,SEMI-AUTO,16900,DIESEL,145,61.4,2.1
M Class,2013,15990,AUTOMATIC,51800,DIESEL,200,44.8,2.1
A Class,2013,9995,SEMI-AUTO,47000,DIESEL,20,68.9,1.8
GL Class,2014,24498,AUTOMATIC,67833,DIESEL,325,35.3,3
V Class,2016,26490,SEMI-AUTO,32494,DIESEL,200,45.6,2.2
A Class,2018,22990,SEMI-AUTO,5491,PETROL,145,45.6,2
A Class,2018,19995,SEMI-AUTO,2348,PETROL,145,53.3,1.3
GLA Class,2017,17850,MANUAL,18692,PETROL,145,48.7,1.6
A Class,2016,15000,MANUAL,30761,DIESEL,30,62.8,2.1
C Class,2017,13800,MANUAL,34015,DIESEL,145,70.6,2.1
V Class,2018,20498,MANUAL,22011,DIESEL,145,46.3,2.1
C Class,2014,15498,SEMI-AUTO,36243,DIESEL,30,64.2,2.1
A Class,2019,18995,SEMI-AUTO,3150,DIESEL,145,65.7,1.5
C Class,2017,20995,SEMI-AUTO,33000,DIESEL,145,58.9,2.1
C Class,2018,31995,SEMI-AUTO,11300,PETROL,150,36.2,3
A Class,2017,16995,SEMI-AUTO,25800,DIESEL,150,68.9,2.1
CL Class,2015,17995,AUTOMATIC,41100,DIESEL,20,67.3,2.1
GLC Class,2016,28995,SEMI-AUTO,31600,DIESEL,145,56.5,2.1
V Class,2018,35995,AUTOMATIC,7000,DIESEL,145,45.6,2.2
C Class,2017,23995,SEMI-AUTO,32800,DIESEL,30,65.7,2.1
GLA Class,2015,16998,SEMI-AUTO,42129,DIESEL,125,56.5,2.1
GLC Class,2016,21998,SEMI-AUTO,49986,DIESEL,125,56.5,2.1
GLA Class,2017,30498,SEMI-AUTO,20085,PETROL,145,38.2,2
C Class,2019,27698,SEMI-AUTO,14999,DIESEL,145,55.4,2
C Class,2016,27498,SEMI-AUTO,37941,PETROL,260,35.8,3
C Class,2019,32498,SEMI-AUTO,11301,DIESEL,145,61.4,2
GLE Class,2019,54498,SEMI-AUTO,6279,DIESEL,145,32.8,3
GL Class,2016,34998,SEMI-AUTO,32726,DIESEL,325,36.2,3
GLC Class,2016,28998,SEMI-AUTO,16742,DIESEL,145,56.5,2.1
C Class,2019,24498,SEMI-AUTO,12629,DIESEL,145,61.4,2.1
SL CLASS,2017,20998,SEMI-AUTO,13526,PETROL,145,47.9,2
E Class,2015,19698,SEMI-AUTO,23578,DIESEL,150,54.3,3
A Class,2018,23498,SEMI-AUTO,5189,PETROL,150,53.3,1.3
A Class,2019,21498,SEMI-AUTO,6324,DIESEL,145,65.7,1.5
A Class,2019,21498,SEMI-AUTO,5685,DIESEL,145,65.7,1.5
SL CLASS,2019,64998,SEMI-AUTO,313,PETROL,145,31.4,4.7
E Class,2015,19498,SEMI-AUTO,17167,DIESEL,145,54.3,3
C Class,2015,12298,SEMI-AUTO,68718,PETROL,125,53.3,2
SL CLASS,2017,21998,SEMI-AUTO,4657,DIESEL,145,70.6,2.1
GLE Class,2016,24998,SEMI-AUTO,30121,DIESEL,205,47.9,2.1
GLC Class,2017,29998,SEMI-AUTO,23326,DIESEL,150,56.5,2.1
E Class,2016,15635,SEMI-AUTO,30132,DIESEL,30,64.2,2.1
C Class,2018,20685,SEMI-AUTO,21929,DIESEL,145,64.2,2.1
E Class,2017,19498,SEMI-AUTO,33037,DIESEL,150,72.4,2
GLS Class,2018,46998,SEMI-AUTO,9182,DIESEL,145,37.2,3
C Class,2016,20498,SEMI-AUTO,27968,DIESEL,125,60.1,2.1
GLE Class,2017,30298,SEMI-AUTO,14786,DIESEL,200,47.9,2.1
E Class,2015,20298,SEMI-AUTO,28056,DIESEL,160,51.4,3
GLC Class,2017,37998,SEMI-AUTO,20418,PETROL,145,34,3
GLE Class,2017,28998,SEMI-AUTO,31322,DIESEL,145,42.8,3
C Class,2014,15298,SEMI-AUTO,41416,DIESEL,30,64.2,2.1
GLC Class,2016,22998,SEMI-AUTO,30162,DIESEL,125,56.5,2.1
GLC Class,2018,31998,SEMI-AUTO,11605,DIESEL,145,56.5,2.1
E Class,2019,36998,SEMI-AUTO,629,PETROL,145,32.9,2
GLA Class,2016,15998,SEMI-AUTO,52029,DIESEL,125,56.5,2.1
GLA Class,2015,18498,SEMI-AUTO,22888,DIESEL,125,55.4,2.1
GLC Class,2016,24998,SEMI-AUTO,30639,DIESEL,125,56.5,2.1
GLC Class,2018,33998,SEMI-AUTO,7220,DIESEL,145,56.5,2.1
C Class,2019,33998,SEMI-AUTO,3814,PETROL,145,44.1,1.5
C Class,2019,32998,SEMI-AUTO,17,PETROL,145,46.3,1.5
CLS Class,2016,21998,SEMI-AUTO,29306,DIESEL,160,51.4,3
GLE Class,2016,28698,SEMI-AUTO,22707,DIESEL,200,47.9,2.1
C Class,2018,19998,SEMI-AUTO,15383,PETROL,145,46.3,1.5
CLS Class,2019,44498,SEMI-AUTO,5428,DIESEL,145,47.9,2.9
C Class,2015,13998,MANUAL,24010,DIESEL,20,72.4,1.6
GLE Class,2017,30498,SEMI-AUTO,19605,DIESEL,260,42.8,3
C Class,2019,24498,SEMI-AUTO,15838,DIESEL,145,61.4,2
SL CLASS,2016,18498,SEMI-AUTO,33502,DIESEL,30,70.6,2.1
A Class,2018,18998,SEMI-AUTO,12386,DIESEL,145,68.9,1.5
C Class,2016,16498,SEMI-AUTO,37080,DIESEL,20,64.2,2.1
GLC Class,2016,23998,SEMI-AUTO,42809,DIESEL,125,56.5,2.1
CL Class,2015,19498,SEMI-AUTO,20820,DIESEL,20,67.3,2.1
C Class,2016,15498,SEMI-AUTO,73582,DIESEL,30,61.4,2.1
E Class,2017,19498,SEMI-AUTO,47007,DIESEL,30,65.7,2
CLS Class,2019,39998,SEMI-AUTO,926,DIESEL,145,45.6,2
E Class,2019,38998,SEMI-AUTO,378,DIESEL,145,57.7,2
SL CLASS,2019,32998,SEMI-AUTO,17,PETROL,145,47.1,2
GLC Class,2019,34998,SEMI-AUTO,423,DIESEL,145,56.5,2.1
A Class,2019,20998,SEMI-AUTO,9651,DIESEL,145,56.5,2
S Class,2015,27498,SEMI-AUTO,35236,DIESEL,200,47.9,3
SL CLASS,2017,20298,SEMI-AUTO,20055,DIESEL,30,70.6,2.1
A Class,2018,21998,SEMI-AUTO,15450,PETROL,150,53.3,1.3
A Class,2019,21998,SEMI-AUTO,19324,PETROL,150,53.3,1.3
A Class,2016,21998,SEMI-AUTO,17171,PETROL,165,45.6,2
E Class,2016,19498,SEMI-AUTO,33249,DIESEL,145,54.3,3
E Class,2016,18998,SEMI-AUTO,23951,DIESEL,125,58.9,2.1
E Class,2017,21998,SEMI-AUTO,16062,DIESEL,145,52.3,3
A Class,2017,15245,MANUAL,22969,DIESEL,145,68.9,1.5
C Class,2014,10995,MANUAL,98000,DIESEL,20,68.9,2.1
A Class,2013,9995,MANUAL,83000,DIESEL,20,70.6,1.5
E Class,2017,23995,SEMI-AUTO,16820,DIESEL,145,51.4,3
SL CLASS,2016,28650,SEMI-AUTO,9262,PETROL,260,36.7,3
M Class,2015,21998,SEMI-AUTO,37963,DIESEL,205,39.2,2.1
C Class,2014,15698,SEMI-AUTO,39920,DIESEL,30,64.2,2.1
V Class,2018,20498,MANUAL,25254,DIESEL,145,46.3,2.1
E Class,2019,39998,SEMI-AUTO,2675,HYBRID,135,134.5,2
GLA Class,2015,18498,SEMI-AUTO,18106,DIESEL,125,56.6,2.1
C Class,2016,18498,SEMI-AUTO,31891,HYBRID,0,134.5,2
GLC Class,2015,24498,SEMI-AUTO,23487,DIESEL,125,56.5,2.1
V Class,2018,20498,MANUAL,20841,DIESEL,145,46.3,2.1
V Class,2018,20498,MANUAL,22033,DIESEL,145,46.3,2.1
C Class,2019,31998,SEMI-AUTO,2000,PETROL,145,42.2,2
C Class,2019,29998,SEMI-AUTO,28000,PETROL,145,44.1,2
C Class,2019,24998,SEMI-AUTO,22400,PETROL,145,44.1,1.5
S Class,2015,26498,SEMI-AUTO,34434,DIESEL,200,48.7,3
C Class,2019,32998,SEMI-AUTO,2878,PETROL,145,42.2,2
C Class,2019,32998,SEMI-AUTO,4500,PETROL,145,42.2,2
C Class,2019,29998,SEMI-AUTO,836,PETROL,145,43.5,2
GLE Class,2016,30998,SEMI-AUTO,14149,DIESEL,235,42.8,3
SL CLASS,2016,19998,SEMI-AUTO,27801,PETROL,145,47.9,2
C Class,2017,23998,SEMI-AUTO,14462,DIESEL,20,67.3,2.1
E Class,2019,48998,SEMI-AUTO,2669,DIESEL,145,47.1,3
C Class,2019,32498,SEMI-AUTO,1887,PETROL,145,46.3,1.5
E Class,2017,19998,SEMI-AUTO,52570,DIESEL,30,65.7,2
GLE Class,2016,27998,SEMI-AUTO,24732,DIESEL,200,47.9,2.1
SL CLASS,2016,18998,SEMI-AUTO,29302,DIESEL,30,70.6,2.1
GLE Class,2017,28498,SEMI-AUTO,30825,DIESEL,145,47.9,2.1
E Class,2015,17998,SEMI-AUTO,42577,DIESEL,145,54.3,3
E Class,2015,18498,SEMI-AUTO,40348,DIESEL,145,54.3,3
C Class,2014,15498,SEMI-AUTO,23772,DIESEL,20,64.2,2.1
C Class,2017,18998,SEMI-AUTO,28808,DIESEL,145,61.4,2.1
E Class,2016,19998,SEMI-AUTO,29511,DIESEL,30,65.7,2
GLA Class,2014,15698,SEMI-AUTO,43696,DIESEL,145,55.4,2.1
GLC Class,2016,25998,SEMI-AUTO,40220,DIESEL,145,56.5,2.1
A Class,2016,15200,SEMI-AUTO,39057,DIESEL,20,74.3,1.5
M Class,2013,15200,SEMI-AUTO,61363,DIESEL,200,44.8,2.1
A Class,2016,15200,SEMI-AUTO,23286,DIESEL,20,68.9,2.1
M Class,2014,15998,SEMI-AUTO,71657,DIESEL,200,44.8,2.1
C Class,2019,22498,SEMI-AUTO,10455,PETROL,145,46.3,1.5
GLA Class,2016,17998,SEMI-AUTO,39017,DIESEL,125,56.5,2.1
CL Class,2013,11998,MANUAL,33562,PETROL,125,50.4,1.6
A Class,2019,21498,SEMI-AUTO,4138,DIESEL,145,65.7,1.5
C Class,2016,19298,SEMI-AUTO,27644,DIESEL,30,64.2,2.1
GLE Class,2016,28998,SEMI-AUTO,34669,DIESEL,200,47.9,2.1
